id,title,poster,overview,release_date
9080,"Spies Like Us",https://image.tmdb.org/t/p/w1280/s0Sx8nd9Irq0aCPbsN78s0DYVlG.jpg,"Two bumbling government employees think they are U.S. spies, only to discover that they are actually decoys for Nuclear War.",1985-12-06
12597,"Hellraiser: Inferno",https://image.tmdb.org/t/p/w1280/kb2t4DkT2dNQouRlJlcqzSkzCwv.jpg,"A shady police detective becomes embroiled in a strange world of murder, sadism and madness after being assigned a murder investigation against a madman known only as 'The Engineer'.",2000-10-03
262848,"Phantasm: Ravager",https://image.tmdb.org/t/p/w1280/jWUJKiNN0OO7MxZ38EaxrA83gnw.jpg,"Brothers Mike and Jody join family friend Reggie to battle the Tall Man and his evil minions from another dimension, for the final time.",2016-10-07
28739,"Cabin Fever 2: Spring Fever",https://image.tmdb.org/t/p/w1280/eCL830fKjc3rkKO8RxAcSwrbpfN.jpg,"A high school prom faces a deadly threat: a flesh-eating virus that spreads via a popular brand of bottled water.",2009-08-11
24929,"Return of the Living Dead Part II",https://image.tmdb.org/t/p/w1280/xam4CgorXj7dWOIcyQy4XBCkxli.jpg,"A group of kids discover one of the drums containing a rotting corpse and release the 2-4-5 Trioxin gas into the air, causing the dead to once again rise from the grave and seek out brains.",1988-01-15
353979,"Pet",https://image.tmdb.org/t/p/w1280/xP1pvDosae1wA0BO2WmiLqIQhNv.jpg,"A man imprisons the woman he's still obsessed with after years apart, then finds the tables turned on him.",2016-09-24
343795,"90 Minutes in Heaven",https://image.tmdb.org/t/p/w1280/jdika2rcQA5ScfHqdXMDkGbkjL8.jpg,"A man involved in a horrific car crash is pronounced dead, only to come back to life an hour and a half later, claiming to have seen Heaven.",2015-09-11
9907,"Barnyard",https://image.tmdb.org/t/p/w1280/5Oooyxd5B9JKl8o4iyOwwUf7JHk.jpg,"When the farmer's away, all the animals play, and sing, and dance. Eventually, though, someone has to step in and run things, a responsibility that ends up going to Otis, a carefree cow.",2006-08-04
6471,"The Jerk",https://image.tmdb.org/t/p/w1280/wb6mB6R9vscPhyAegbbNDFZUAIs.jpg,"After discovering he's not really black like the rest of his family, likable dimwit Navin Johnson runs off on a hilarious misadventure in this comedy classic that takes him from rags to riches and back to rags again. The slaphappy jerk strikes it rich, but life in the fast lane isn't all it's cracked up to be and, in the end, all that really matters to Johnson is his true love.",1979-12-14
425591,"I Don't Feel at Home in This World Anymore",https://image.tmdb.org/t/p/w1280/1stdUlXBc3nxqhdWvZ6wWWEbCQW.jpg,"When a depressed woman is burglarized, she finds a new sense of purpose by tracking down the thieves alongside her obnoxious neighbor. But they soon find themselves dangerously out of their depth against a pack of degenerate criminals.",2017-01-19
12596,"Pushing Tin",https://image.tmdb.org/t/p/w1280/A33xLPsTIgT7tN3E5UWfVURFlPV.jpg,"Two air traffic controllers who thrive on living dangerously compete to outdo each other on several levels.",1999-04-23
10588,"The Cat in the Hat",https://image.tmdb.org/t/p/w1280/cyfCsdxGYIRlMd2z3dncOZWrgvk.jpg,"Conrad and Sally Walden are home alone with their pet fish. It is raining outside, and there is nothing to do. Until The Cat in the Hat walks in the front door. He introduces them to their imagination, and at first it's all fun and games, until things get out of hand, and The Cat must go, go, go, before their parents get back.",2003-11-21
387426,"Okja",https://image.tmdb.org/t/p/w1280/pHlRr2MfjK77VIIAO7p0R4jhsJI.jpg,"A young girl named Mija risks everything to prevent a powerful, multi-national company from kidnapping her best friend - a massive animal named Okja.",2017-06-28
